# seq	source_rank	word_id	headword	cefr	primary_sense_id	primary_pos
405	2393	2393	anger	B2	61562	noun
406	2394	2394	angle	B2	61570	noun
407	2395	2395	anniversary	B2	61551	noun
408	2396	2396	annual	B2	61554	adj
409	2397	2397	anxious	B2	61566	adj
410	2398	2398	apparent	B2	61588	adj
411	2399	2399	apparently	B2	61591	adv
412	2400	2400	appeal	B2	61595	noun
413	2401	2401	approach	B2	61634	verb
414	2402	2402	appropriate	B2	61618	verb
415	2403	2403	approval	B2	61627	noun
416	2404	2404	approve	B2	61668	verb
417	2405	2405	arise	B2	61655	verb
418	2406	2406	armed	B2	61659	adj
419	2407	2407	arms	B2	61630	noun
420	2408	2408	artificial	B2	61674	adj
421	2409	2409	artistic	B2	61681	adj
422	2410	2410	ashamed	B2	61679	adj
423	2411	2411	aspect	B2	61689	noun
424	2412	2412	assess	B2	61706	verb
425	2413	2413	assessment	B2	61709	noun
426	2414	2414	associate	B2	61719	adj
427	2415	2415	associated	B2	61686	adj
428	2416	2416	association	B2	61751	noun
429	2417	2417	assume	B2	61711	verb
430	2418	2418	attempt	B2	61757	verb
431	2419	2419	bacteria	B2	61738	noun
432	2420	2420	barrier	B2	61743	noun
433	2421	2421	basically	B2	61716	adv
434	2422	2422	beg	B2	61766	verb
435	2423	2423	being	B2	61813	verb
436	2424	2424	bent	B2	61777	verb
437	2425	2425	bet	B2	61820	noun
438	2426	2426	beyond	B2	61800	prep
439	2427	2427	bitter	B2	61906	adj
440	2428	2428	blame	B2	61828	noun
441	2429	2429	blind	B2	61916	adj
442	2430	2430	bond	B2	61837	noun
443	2431	2431	breast	B2	61948	noun
444	2432	2432	brief	B2	61865	adj
445	2433	2433	broad	B2	61888	adj
446	2434	2434	broadcast	B2	61999	adj
447	2435	2435	budget	B2	61963	noun
448	2436	2436	bullet	B2	61973	noun
449	2437	2437	bunch	B2	62012	noun
450	2438	2438	bush	B2	62028	noun
451	2439	2439	cable	B2	62051	noun
452	2440	2440	calculate	B2	62073	verb
453	2441	2441	cancel	B2	62079	verb
454	2442	2442	cancer	B2	62107	noun
455	2443	2443	capable	B2	62071	adj
456	2444	2444	capacity	B2	62095	noun
457	2445	2445	capture	B2	62110	noun
458	2446	2446	cast	B2	62126	verb
459	2447	2447	cell	B2	62194	noun
460	2448	2448	chairman	B2	62184	noun
461	2449	2449	characteristic	B2	62188	adj
462	2450	2450	chief	B2	62221	noun
463	2451	2451	circumstance	B2	62230	noun
464	2452	2452	cite	B2	62120	verb
465	2453	2453	citizen	B2	62253	noun
466	2454	2454	civil	B2	62235	adj
467	2455	2455	classic	B2	62240	adj
468	2456	2456	closely	B2	62219	adv
469	2457	2457	collapse	B2	62261	verb
470	2458	2458	combination	B2	62272	noun
471	2459	2459	comfort	B2	62313	noun
472	2460	2460	command	B2	62295	noun
473	2461	2461	commission	B2	62320	noun
474	2462	2462	commitment	B2	62282	noun
475	2463	2463	committee	B2	62336	noun
476	2464	2464	commonly	B2	62293	adv
477	2465	2465	complicated	B2	62347	adj
478	2466	2466	component	B2	62332	noun
479	2467	2467	concentration	B2	62339	noun
480	2468	2468	concept	B2	62350	noun
481	2469	2469	concern	B2	62357	noun
482	2470	2470	concerned	B2	62354	adj
